"macaddress"
""
"da:3b:73:3e:54:62"
" 66:64:a2:0e:fc:5d"
" 3e:01:16:75:ab:1f"
" da:6b:77:1b:45:24"
" 90:78:b2:cf:ff:c7"
" f6:5a:74:7b:7e:61"
" be:d6:66:67:18:30"
" e4:34:93:cb:eb:70"
" 9a:83:a5:b0:8a:0b"
" 66:c8:f8:4b:96:03"
" ea:2b:92:4c:6a:62"
" 0e:c7:b8:fc:9b:98"
" d6:b6:aa:53:e1:eb"
" a8:5c:2c:da:8b:db"
" 34:e9:11:ae:93:1d"
" 86:55:85:52:71:a0"
" 0c:e0:dc:3e:fe:0a"
" fc:19:99:ed:99:0f"
" 42:b8:f2:bb:36:95"
" 9a:1e:06:f7:03:e1"
" 5e:a6:d2:d8:81:58"
" ea:45:1e:f3:42:27"
" ec:01:ee:b3:31:b9"
" 82:46:13:9f:4d:59"
" c2:03:4a:25:aa:48"
" 92:0b:d0:34:dc:a6"
" 94:65:2d:f2:eb:3f"
" 06:ba:1c:77:3f:d6"
" 08:25:25:82:b9:8a"
" 16:2f:0d:38:20:83"
" 50:8f:4c:98:b2:77"
" 24:18:1d:c8:ae:9b"
" 9e:2c:5f:fb:4c:18"
" d0:c5:f3:ba:50:a8"
" 3a:67:5a:4e:30:c4"
" 2e:0c:22:42:89:3d"
" 7a:49:2b:7a:ef:bb"
" 72:dc:b7:cd:a9:6f"
" 26:30:b5:21:5c:72"
" 66:0a:83:01:a7:e9"
" ce:4c:ca:8d:55:01"
" 22:65:c1:d4:fb:f0"
" 52:c1:29:85:a2:d3"
" 22:84:9d:8f:05:b4"
" 70:5a:ac:c0:1c:e0"
" 12:de:c6:eb:1d:79"
" 36:6e:55:db:f0:18"
"b4:c4:fc:91:a1:88"
" 72:45:83:68:28:63"
" f2:ac:05:03:a5:06"
" 48:9d:d1:6c:ef:81"
" ca:9d:3b:e1:64:e1"
" de:cd:b8:56:81:07"
" 46:98:d7:86:d2:17"
" 32:6a:cb:87:a4:e1"
" 8e:b9:45:6d:59:43"
" d2:cb:60:8e:4c:e6"
" c2:56:31:d3:9b:ff"
" c8:3d:dc:f3:e4:18"
" da:0b:cf:e0:44:4b"
" c6:0d:6a:c2:f2:2b"
" 38:30:f9:30:61:53"
"26:a9:2c:3c:23:10"
" ec:8c:9a:cb:37:42"
" 4a:ea:8e:48:73:32"
" 4a:00:cb:a8:ee:42"
" 9a:dd:f8:42:47:e9"
